Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 70  -65  -78  -57  -39   13   44   50   32   35   40   42   32
 80  -55  -53  -78  -61  -30   20   37   19   35   51   30  -08
 90 -161  -37 -158 -101 -117  -66  -13   06   33   42  -18  -49
100 -260  -05 -205 -154 -151 -143 -121  -80  -31  -72  -35 -165

2000
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -298 -307 -314 -343 -372 -358 -218 -238 -308 -280  -43   43
 12 -271 -305 -319 -362 -365 -378 -383 -392 -401 -393 -245  -96
 15 -270 -301 -337 -348 -361 -384 -374 -386 -387 -369 -381 -358
 20 -232 -223 -227 -304 -333 -343 -363 -353 -357 -369 -357 -328
 25  -47  -32   13  -95 -257 -304 -323 -334 -345 -339 -311 -282
 30   74   95  113   61  -71 -227 -282 -294 -288 -275 -253 -259
 35  117  124  130  117   63  -79 -136 -164 -158 -173 -194 -202
 40  127  129  137  128  111   57   19   02  -01  -61  -78  -86
 45  128  131  147  130  127  118   88   88   94   21   07  -07
 50  123  124  134  127  140  143  127  124  112   70   52   40
 60   93  106   96  106  119  132  116   97  105   81   54   46
 70   62   48   46   60   92  106   92   88   76   62   35  -06
 80   22   07   18   10   35   82   55   67   48   46  -36  -30
 90  -08  -23  -23  -28  -16   22   04   44   34   26  -86  -83
100  -41 -118  -77 -103  -73  -71  -72  -70  -36  -67  -92 -152

2001
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10   28  -69  -15   62  109   41   14   50   87  129  147  156
 12  -75 -221 -179  -46   63   61   62   80   91  130  156  192
 15 -327 -361 -358 -282  -46   21   89   77   97  132  162  224
 20 -321 -311 -322 -344 -352 -255  -35   39   74  106  153  211
 25 -298 -304 -309 -317 -328 -363 -344 -173  -48   52  120  206
 30 -284 -272 -269 -309 -318 -331 -349 -354 -307 -136   21  140
 35 -200 -185 -164 -225 -281 -298 -318 -319 -322 -304 -133   01
 40  -65  -63  -50  -91 -198 -237 -268 -278 -284 -286 -287 -176
 45   09   21   29   15  -91 -177 -215 -230 -255 -254 -274 -246
 50   59   51   56   52  -05  -80 -158 -184 -202 -199 -205 -205
 60   52   34   39   54   44  -01  -50  -97  -87  -87  -93 -123
 70   07   22  -30   17   42   55  -04  -54  -31  -50  -39  -62
 80  -49   15  -59  -35  -03   46   03  -33  -32  -59  -11  -38
 90  -95  -35  -54  -77  -35  -11  -55  -23  -91  -77  -49  -07
100 -184 -164  -67  -72  -81 -118 -139  -87 -169 -118 -190  -12

2002
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  158  176  224  101 -100 -244 -257 -247 -222 -249 -262 -257
 12  190  200  226  121   45 -130 -148 -118 -104 -167 -230 -215
 15  210  199  229  147  103   02  -12  -21   07  -93 -175 -151
 20  199  202  213  167  151   52   73   73   66  -13 -118 -198
