# Data origin for merged files:  the parameter names are listed here along with the name of the originating file,
## for the example date 2017-08-08. Look at the associated icartt file header for detailed information about the parameter.
## the MER#0 merged file is obtained by block averaging +/-5 s around each UTC time stamp evenly divisible by 10.
params	data.set
CH4_NOAA	NOAA-Picarro-CO2-CH4-CO_DC8_YYYYMMDD_R#.ict
CO_NOAA	NOAA-Picarro-CO2-CH4-CO_DC8_YYYYMMDD_R#.ict
NO2_CL	NOyO3-NO2_DC8_YYYYMMDD_R#.ict
NO2_CL_2sigma	NOyO3-NO2_DC8_YYYYMMDD_R#.ict
NO_CL	NOyO3-NO_DC8_YYYYMMDD_R#.ict
NO_CL_2sigma	NOyO3-NO_DC8_YYYYMMDD_R#.ict
NOy_CL	NOyO3-NOy_DC8_YYYYMMDD_R#.ict
NOy_CL_2sigma	NOyO3-NOy_DC8_YYYYMMDD_R#.ict
O3_CL	NOyO3-O3_DC8_YYYYMMDD_R#.ict
O3_CL_2sigma	NOyO3-O3_DC8_YYYYMMDD_R#.ict
SulfOrgNitFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
BioBurnFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
SootFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
MineralFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
MeteoricFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
AlkaliSaltFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
SeaSaltFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
OilCombFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
UnclassFrac_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
OrgSulfMF_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
IEPOXmf_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
GASmf_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
SulfNeut_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
Npos_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
NNeg_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
NAcid_PALMS	PALMS_DC8_YYYYMMDD_R#.ict
CH4_QCLS	QCLS-CH4-CO-N2O_DC8_YYYYMMDD_R#.ict
N2O_QCLS	QCLS-CH4-CO-N2O_DC8_YYYYMMDD_R#.ict
CO_QCLS	QCLS-CH4-CO-N2O_DC8_YYYYMMDD_R#.ict
CO2_QCLS	QCLS-CO2_DC8_YYYYMMDD_R#.ict
HNO3+submicron-NO3_SAGA	SAGA-MC_DC8_YYYYMMDD_R#.ict
Sulfate_lt_	1um_MCIC SAGA-MC_DC8_YYYYMMDD_R#.ict
BC_mass_90_550_nm	SP2-BC_DC8_YYYYMMDD_R#.ict
C3H8_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
CH2O_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
HCN_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
i_Butane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
n_Butane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Methyl_Chloride_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Acetaldehyde_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
i_Butene_1_Butene_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Methyl_Bromide_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
i_Pentane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
n_Pentane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Methanol_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Ethanol_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Acrolein_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Isoprene_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Methyl_Iodide_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
DMS_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
CFC11_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
CFC113_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Propanal_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Acetone_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
2_Methylpentane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
3_Methylpentane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
n_Hexane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Dichloromethane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
MTBE_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
CH3CN_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
MACR_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
MVK_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Butanal_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
MEK_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Chloroform_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
EthylNitrate_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
I_PropylNitrate_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Benzene_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
n_Heptane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Bromodichloromethane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Dibromomethane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Chloroiodomethane_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Toluene_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
Ethylbenzene_TOGA	TOGA_DC8_YYYYMMDD_R#.ict
